ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,Births_Bachelor's_Degree,Births_Graduate_Degree,Births_High_School_Graduate_or_GED_Completed,Births_No_High_School_Diploma,"Births_Some_College_Credit,_No_4-Year_Degree",Births_Unknown,Births_15_years_and_under,Births_16___17_years,Births_18___19_years,Births_20___24_years,Births_25___29_years,Births_30___34_years,Births_35___39_years,Births_40___44_years,Births_45___49_years,Births_50_years_and_over/Unknown,Births_First_Trimester,Births_No_Prenatal_Care,Births_Second_Trimester,Births_Third_Trimester,Births_Unknown_Not_Reported
90011,6908.5,562.5,8.14214373597742,324.0,78.0,2170.0,2781.0,1474.0,96.0,27.5,112.0,332.0,1620.0,1970.0,1607.0,961.0,288.0,27.5,0.0,5401.0,67.5,1103.0,302.0,40.5
90012,1044.0,104.0,9.961685823754788,299.0,201.0,188.0,86.0,219.0,33.0,0.0,11.0,27.5,83.5,233.0,371.0,234.0,66.5,16.5,11.0,867.0,11.0,93.0,47.0,27.5
90013,843.0,132.0,15.658362989323845,105.0,79.5,50.0,40.5,64.0,27.5,0.0,0.0,5.5,34.0,97.0,120.0,95.5,27.5,11.0,0.0,302.0,22.0,27.5,27.5,27.5
90014,299.0,77.0,25.75250836120401,75.5,49.0,27.5,27.5,67.0,27.5,0.0,0.0,11.0,27.5,47.5,101.0,56.0,22.0,0.0,5.5,205.0,11.0,27.5,22.0,22.0
90015,1189.5,130.5,10.970996216897856,241.0,155.0,218.0,314.0,196.0,33.0,16.5,27.5,40.5,168.0,259.0,354.0,265.0,60.5,5.5,5.5,936.0,22.0,152.0,42.5,27.5
90016,2437.5,200.5,8.225641025641025,452.0,278.0,611.0,379.0,630.0,82.5,5.5,27.5,48.5,362.0,558.0,705.0,584.0,140.0,27.5,0.0,1992.0,27.5,282.0,66.0,76.5
90017,1372.0,142.0,10.349854227405247,180.0,139.0,251.0,526.0,225.0,27.5,22.0,27.5,44.5,191.0,336.0,393.0,279.0,75.5,11.0,0.0,1081.0,27.5,175.0,58.0,27.5
90018,2500.5,204.5,8.178364327134572,340.0,204.0,694.0,577.0,610.0,55.0,16.5,27.5,72.0,375.0,646.0,730.0,492.0,134.0,27.5,11.0,2011.0,27.5,321.0,77.5,47.5
90019,2962.5,234.5,7.915611814345993,748.0,442.0,575.0,502.0,603.0,67.5,5.5,27.5,60.5,350.0,586.0,876.0,799.0,236.0,27.5,5.5,2475.0,27.5,305.0,103.0,40.5
90020,1578.0,156.0,9.88593155893536,411.0,180.0,364.0,221.0,323.0,39.0,0.0,16.5,27.5,169.0,374.0,514.0,346.0,95.0,11.0,5.5,1263.0,22.0,188.0,64.0,27.5
90021,162.5,49.5,30.461538461538463,27.5,16.5,22.0,27.5,27.5,5.5,0.0,0.0,11.0,27.5,27.5,27.5,27.5,22.0,0.0,0.0,76.5,11.0,27.5,16.5,11.0
90022,3638.5,271.5,7.46186615363474,302.0,122.0,1500.0,685.0,985.0,27.5,22.0,44.5,122.0,741.0,1114.0,895.0,559.0,156.0,22.0,0.0,3159.0,27.5,340.0,94.0,27.5
90023,2677.0,212.0,7.919312663429212,198.0,48.0,1127.0,614.0,644.0,35.0,16.5,41.5,106.5,561.0,788.0,624.0,426.0,116.0,16.5,11.0,2288.0,33.0,282.0,46.0,27.5
90024,1215.0,108.0,8.88888888888889,421.0,579.0,35.0,16.5,85.0,74.0,0.0,0.0,5.5,27.5,151.0,515.0,388.0,102.0,27.5,16.5,1121.0,11.0,36.0,27.5,27.5
90025,2221.0,174.0,7.834308869878432,771.0,936.0,103.0,35.0,162.0,186.0,0.0,5.5,27.5,50.5,242.0,906.0,782.0,169.0,27.5,11.0,2018.0,22.0,80.5,27.5,67.0
90026,2775.0,226.0,8.144144144144144,632.0,442.0,549.0,514.0,562.0,66.0,22.0,42.5,91.0,332.0,514.0,816.0,717.0,229.0,27.5,5.5,2291.0,27.5,349.0,67.0,37.0
90027,1729.5,139.5,8.065915004336514,634.0,496.0,181.0,68.5,244.0,67.5,0.0,16.5,11.0,68.0,207.0,591.0,619.0,188.0,27.5,5.5,1488.0,22.0,116.5,34.0,38.0
90028,890.0,90.5,10.168539325842698,236.0,118.0,204.0,84.0,197.0,34.0,11.0,11.0,27.5,112.0,205.0,265.0,219.0,35.0,5.5,5.5,690.0,22.0,109.0,40.0,27.5
90029,1375.0,151.5,11.01818181818182,204.0,97.0,388.0,351.0,286.0,27.5,27.5,27.5,34.0,184.0,376.0,362.0,256.0,102.0,22.0,0.0,1096.0,27.5,180.0,39.5,22.0
90030,27.5,5.5,20.0,0.0,0.0,5.5,11.0,0.0,5.5,5.5,0.0,0.0,0.0,16.5,5.5,0.0,0.0,0.0,0.0,11.0,5.5,0.0,5.5,5.5
90031,1712.5,151.5,8.846715328467154,265.0,150.0,514.0,252.0,451.0,48.5,22.0,27.5,53.0,279.0,404.0,491.0,328.0,110.0,16.5,0.0,1467.0,22.0,165.0,34.0,22.0
90032,2139.5,177.5,8.296330918438887,442.0,227.0,575.0,220.0,588.0,52.5,22.0,27.5,64.0,333.0,510.0,619.0,435.0,113.0,27.5,0.0,1815.0,27.5,217.0,27.5,27.5
90033,2459.5,210.5,8.558650132140679,195.0,73.0,1022.0,552.0,562.0,33.0,11.0,35.0,102.5,563.0,670.0,578.0,389.0,93.0,22.0,0.0,2058.0,44.5,265.0,48.5,22.0
90034,2669.0,225.0,8.430123641813413,898.0,844.0,272.0,113.0,378.0,148.0,11.0,16.5,27.5,157.0,468.0,984.0,800.0,203.0,22.0,11.0,2390.0,16.5,146.0,35.0,77.5
90035,2093.5,159.5,7.618820157630762,767.0,725.0,142.0,39.0,315.0,77.5,0.0,5.5,16.5,103.0,387.0,839.0,576.0,133.0,27.5,16.5,1907.0,11.0,83.0,27.5,62.0
90036,2288.5,142.5,6.226786104435219,879.0,698.0,217.0,36.0,346.0,100.0,0.0,11.0,16.5,122.0,409.0,850.0,670.0,192.0,27.5,16.5,2055.0,11.0,113.0,60.5,37.0
90037,4017.0,310.0,7.717201891959173,211.0,79.0,1238.0,1525.0,906.0,61.5,16.5,51.0,204.0,885.0,1176.0,927.0,616.0,144.0,22.0,0.0,3137.0,56.0,626.0,167.0,33.0
90038,1013.5,106.0,10.458806117414898,161.0,101.0,252.0,216.0,230.0,27.5,11.0,22.0,27.5,151.0,245.0,293.0,207.0,52.0,5.5,0.0,791.0,22.0,124.0,35.0,27.5
90039,1319.0,101.0,7.657316148597422,500.0,339.0,160.0,35.0,217.0,37.0,5.5,5.5,16.5,47.5,146.0,406.0,511.0,144.0,27.5,5.5,1163.0,5.5,84.0,33.0,27.5
90040,667.0,93.5,14.017991004497752,61.5,27.5,260.0,65.0,205.0,22.0,0.0,22.0,27.5,118.0,178.0,165.0,116.0,33.0,5.5,0.0,559.0,11.0,45.5,27.5,11.0
90041,1134.5,94.5,8.329660643455266,431.0,298.0,93.5,27.5,228.0,47.5,0.0,0.0,27.5,63.5,148.0,374.0,416.0,105.0,27.5,5.5,1015.0,11.0,64.5,27.5,33.0
90042,2797.0,223.0,7.972828030032178,771.0,565.0,498.0,233.0,615.0,82.5,5.5,16.5,47.5,310.0,499.0,801.0,851.0,227.0,27.5,16.5,2445.0,11.0,232.0,42.5,44.5
90043,2339.5,245.5,10.493695234024363,408.0,279.0,652.0,338.0,597.0,55.0,16.5,27.5,76.0,384.0,558.0,642.0,507.0,130.0,22.0,11.0,1886.0,33.0,278.0,65.0,52.0
90044,6247.0,601.0,9.620617896590364,348.0,115.0,2271.0,1927.0,1452.0,150.0,27.5,91.0,337.0,1375.0,1834.0,1455.0,892.0,241.0,27.5,16.5,4956.0,114.0,869.0,227.0,97.0
90045,1908.0,154.0,8.071278825995808,843.0,563.0,120.0,27.5,235.0,76.5,5.5,5.5,11.0,33.0,264.0,719.0,643.0,168.0,27.5,11.0,1699.0,16.5,77.5,27.5,63.5
90046,1515.5,97.5,6.433520290333224,683.0,360.0,123.0,27.5,251.0,51.0,0.0,5.5,0.0,35.0,184.0,541.0,522.0,184.0,27.5,16.5,1361.0,11.0,75.0,27.5,34.0
90047,2778.0,254.0,9.14326853851692,351.0,166.0,868.0,499.0,799.0,90.5,5.5,27.5,99.0,534.0,789.0,732.0,446.0,137.0,22.0,5.5,2257.0,27.5,355.0,65.0,49.0
90048,1245.0,130.0,10.441767068273093,531.0,435.0,56.5,27.5,129.0,34.0,0.0,0.0,0.0,27.5,137.0,491.0,422.0,121.0,27.5,5.5,1119.0,5.5,33.0,22.0,27.5
90049,1717.0,145.5,8.474082702387886,726.0,730.0,27.5,27.5,88.0,97.0,0.0,0.0,0.0,27.5,133.0,698.0,631.0,179.0,27.5,27.5,1562.0,0.0,46.0,16.5,69.0
90056,323.0,49.5,15.325077399380804,109.0,70.5,27.5,16.5,61.0,27.5,0.0,11.0,11.0,27.5,55.5,86.5,92.0,33.0,11.0,0.0,258.0,16.5,27.5,27.5,22.0
90057,2451.5,244.5,9.973485621048338,202.0,57.5,529.0,1245.0,336.0,57.5,22.0,43.5,98.0,417.0,586.0,658.0,464.0,153.0,16.5,0.0,1944.0,22.0,376.0,79.0,27.5
90058,278.0,71.5,25.719424460431657,22.0,22.0,96.0,73.0,48.5,11.0,5.5,16.5,22.0,65.5,63.5,34.0,34.0,22.0,5.5,0.0,195.0,16.5,34.0,22.0,5.5
90059,3162.0,272.0,8.60215053763441,176.0,44.5,1279.0,819.0,741.0,88.5,27.5,37.0,148.0,738.0,975.0,755.0,392.0,95.0,22.0,0.0,2560.0,39.5,432.0,90.0,40.5
90061,1969.5,188.5,9.570957095709572,125.0,27.5,728.0,535.0,479.0,46.0,16.5,27.5,113.0,433.0,588.0,435.0,264.0,73.0,16.5,5.5,1576.0,27.5,263.0,60.5,27.5
90062,1882.5,192.5,10.225763612217795,172.0,96.0,557.0,506.0,493.0,33.0,11.0,27.5,56.0,365.0,537.0,491.0,272.0,89.5,22.0,11.0,1480.0,27.5,239.0,74.5,27.5
90063,2957.0,223.0,7.541427122083193,328.0,135.0,1152.0,579.0,732.0,27.5,22.0,27.5,116.0,623.0,839.0,728.0,473.0,132.0,16.5,0.0,2569.0,22.0,294.0,69.0,22.0
90064,1201.0,108.0,8.992506244796003,426.0,517.0,54.0,27.5,98.0,67.0,0.0,0.0,22.0,27.5,105.0,443.0,485.0,105.0,27.5,0.0,1085.0,11.0,40.5,27.5,40.5
90065,2193.5,146.5,6.67882379758377,632.0,426.0,368.0,219.0,452.0,72.0,11.0,27.5,55.0,193.0,382.0,640.0,677.0,192.0,27.5,11.0,1906.0,22.0,191.0,35.0,27.5
90066,2647.0,191.0,7.215715904797884,1016.0,874.0,187.0,47.5,316.0,179.0,5.5,22.0,27.5,87.0,355.0,979.0,949.0,212.0,27.5,22.0,2406.0,11.0,116.0,27.5,78.5
90067,137.5,27.5,20.0,35.0,39.5,22.0,11.0,27.5,16.5,0.0,0.0,5.5,11.0,11.0,34.0,33.0,16.5,16.5,0.0,90.0,0.0,5.5,5.5,16.5
90068,906.0,71.5,7.891832229580574,397.0,228.0,58.0,22.0,151.0,27.5,0.0,0.0,0.0,27.5,77.5,275.0,365.0,118.0,27.5,11.0,780.0,5.5,50.0,27.5,27.5
90069,674.0,66.0,9.792284866468842,302.0,182.0,33.0,16.5,88.0,27.5,0.0,0.0,11.0,27.5,83.0,257.0,208.0,65.0,27.5,22.0,573.0,11.0,27.5,28.5,27.5
90071,33.0,0.0,0.0,5.5,11.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,5.5,11.0,11.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0
90073,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0
90077,368.5,49.5,13.432835820895525,131.0,148.0,22.0,11.0,33.0,27.5,0.0,0.0,5.5,5.5,27.5,121.0,155.0,35.0,11.0,0.0,313.0,0.0,27.5,11.0,22.0
90089,38.5,5.5,14.285714285714285,5.5,16.5,0.0,0.0,5.5,5.5,0.0,0.0,0.0,0.0,5.5,16.5,16.5,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0
90090,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0
90094,912.0,89.0,9.758771929824562,403.0,358.0,27.5,5.5,68.5,27.5,0.0,0.0,0.0,22.0,72.5,374.0,333.0,88.0,27.5,5.5,827.0,0.0,27.5,22.0,37.0
90095,11.0,5.5,50.0,0.0,0.0,5.5,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,5.5,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
90201,5436.5,365.5,6.723075508139428,416.0,121.0,2298.0,1066.0,1429.0,112.0,16.5,62.5,218.0,1139.0,1678.0,1351.0,759.0,206.0,22.0,16.5,4622.0,36.0,585.0,163.0,27.5
90210,785.5,77.0,9.8026734563972,347.0,251.0,35.0,22.0,76.5,27.5,0.0,0.0,0.0,27.5,94.0,264.0,272.0,88.0,27.5,16.5,707.0,0.0,27.5,16.5,27.5
90211,441.0,49.5,11.224489795918368,152.0,164.0,27.5,22.0,56.5,22.0,0.0,0.0,0.0,22.0,43.5,150.0,150.0,37.0,16.5,0.0,380.0,5.5,27.5,11.0,22.0
90212,508.5,66.0,12.979351032448378,192.0,154.0,22.0,16.5,50.5,27.5,0.0,0.0,0.0,27.5,70.5,183.0,144.0,27.5,22.0,5.5,437.0,0.0,22.0,22.0,27.5
90220,3259.5,261.5,8.022702868538119,251.0,86.0,1157.0,686.0,986.0,94.0,22.0,43.5,148.0,717.0,960.0,831.0,442.0,98.0,22.0,11.0,2751.0,27.5,373.0,60.0,40.5
90221,3717.5,262.5,7.061197041022192,274.0,74.5,1345.0,928.0,1009.0,75.5,22.0,40.5,148.0,902.0,1089.0,895.0,491.0,132.0,16.5,0.0,3158.0,40.5,387.0,76.5,27.5
90222,2311.5,216.5,9.36621241617997,152.0,45.5,896.0,555.0,611.0,51.0,11.0,27.5,105.0,565.0,675.0,553.0,289.0,89.0,16.5,0.0,1898.0,27.5,316.0,54.5,27.5
90230,1500.5,116.5,7.7640786404531825,479.0,474.0,155.0,41.0,227.0,85.0,0.0,22.0,27.5,86.0,190.0,551.0,464.0,133.0,27.5,22.0,1320.0,22.0,89.0,27.5,34.0
90232,791.5,71.5,9.033480732785849,303.0,292.0,58.5,22.0,60.0,33.0,0.0,0.0,16.5,27.5,90.0,301.0,295.0,61.5,11.0,0.0,713.0,0.0,37.0,22.0,27.5
90401,294.0,44.0,14.965986394557824,85.0,89.0,27.5,11.0,34.0,27.5,0.0,0.0,11.0,27.5,27.5,106.0,99.0,27.5,11.0,0.0,240.0,11.0,27.5,16.5,16.5
90402,419.5,49.5,11.799761620977357,177.0,167.0,22.0,22.0,27.5,22.0,0.0,0.0,0.0,0.0,27.5,119.0,172.0,61.5,16.5,5.5,366.0,0.0,27.5,11.0,35.0
90403,1171.5,92.0,7.8531796841656,490.0,493.0,27.5,11.0,70.5,62.5,0.0,0.0,5.5,22.0,65.5,444.0,467.0,153.0,27.5,5.5,1044.0,0.0,39.5,22.0,62.0
90404,940.5,90.0,9.569377990430622,331.0,293.0,88.0,27.5,120.0,65.5,5.5,5.5,22.0,27.5,99.0,360.0,307.0,102.0,16.5,11.0,822.0,11.0,27.5,27.5,48.5
90405,1158.5,82.5,7.121277514026758,423.0,424.0,78.0,22.0,124.0,79.0,0.0,0.0,27.5,43.5,78.5,408.0,461.0,128.0,27.5,11.0,1034.0,5.5,40.5,22.0,67.5
90501,2350.5,192.5,8.189746862369708,552.0,309.0,451.0,274.0,621.0,112.0,16.5,27.5,35.0,256.0,523.0,753.0,555.0,151.0,27.5,0.0,2052.0,27.5,195.0,27.5,27.5
90502,827.0,77.0,9.310761789600967,243.0,96.0,160.0,63.5,208.0,33.0,5.5,22.0,27.5,87.0,185.0,294.0,175.0,42.5,16.5,0.0,731.0,11.0,54.0,22.0,27.5
90503,1948.5,175.5,9.006928406466514,806.0,539.0,145.0,27.5,319.0,84.0,0.0,5.5,27.5,75.0,330.0,774.0,573.0,140.0,27.5,11.0,1764.0,11.0,127.0,27.5,16.5
90504,1429.5,142.5,9.968520461699896,499.0,317.0,168.0,33.0,320.0,44.5,0.0,11.0,22.0,84.0,237.0,543.0,397.0,116.0,16.5,0.0,1295.0,11.0,79.5,27.5,22.0
90505,1535.5,122.5,7.977857375447737,628.0,420.0,97.0,27.5,270.0,62.0,0.0,0.0,22.0,43.5,241.0,563.0,520.0,124.0,22.0,11.0,1386.0,22.0,94.0,22.0,16.5
90506,11.0,0.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0
90601,1681.5,162.5,9.663990484686291,350.0,243.0,397.0,80.5,534.0,35.0,0.0,22.0,27.5,210.0,373.0,549.0,364.0,102.0,27.5,0.0,1433.0,16.5,160.0,35.0,22.0
90602,1483.5,127.5,8.59453993933266,255.0,146.0,458.0,131.0,436.0,38.0,16.5,27.5,27.5,201.0,419.0,456.0,260.0,68.5,16.5,0.0,1240.0,27.5,164.0,33.0,16.5
90603,1002.5,83.5,8.329177057356608,282.0,205.0,158.0,27.5,299.0,27.5,0.0,11.0,27.5,65.5,213.0,354.0,279.0,40.5,11.0,5.5,867.0,16.5,87.0,27.5,22.0
90604,2205.0,176.0,7.981859410430839,470.0,237.0,601.0,150.0,689.0,35.0,16.5,16.5,33.0,287.0,583.0,706.0,451.0,106.0,22.0,0.0,1891.0,27.5,222.0,44.5,27.5
90605,2112.0,154.0,7.291666666666667,374.0,165.0,631.0,191.0,685.0,50.0,5.5,27.5,39.0,341.0,543.0,642.0,380.0,123.0,16.5,11.0,1761.0,27.5,260.0,45.5,16.5
90606,1749.5,149.5,8.545298656759075,266.0,154.0,512.0,141.0,606.0,45.5,5.5,22.0,40.5,269.0,485.0,517.0,320.0,76.0,22.0,11.0,1468.0,27.5,191.0,27.5,27.5
90623,610.5,91.0,14.905814905814909,208.0,149.0,62.0,11.0,122.0,27.5,0.0,0.0,16.5,39.5,117.0,210.0,152.0,38.0,5.5,5.5,505.0,0.0,50.0,22.0,22.0
90630,1969.5,150.5,7.641533384107642,676.0,394.0,279.0,49.0,491.0,48.0,5.5,16.5,27.5,147.0,450.0,720.0,509.0,93.0,16.5,5.5,1727.0,22.0,144.0,27.5,40.5
90631,3675.0,242.0,6.585034013605442,806.0,402.0,1114.0,295.0,974.0,88.0,11.0,27.5,75.0,485.0,983.0,1222.0,692.0,180.0,22.0,16.5,3222.0,22.0,339.0,43.0,38.5
90638,1883.0,172.0,9.134360063728094,544.0,363.0,355.0,45.5,504.0,39.5,5.5,16.5,27.5,149.0,400.0,708.0,454.0,107.0,16.5,11.0,1636.0,22.0,162.0,38.0,16.5
90639,27.5,5.5,20.0,5.5,11.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,11.0,5.5,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0
90640,3128.5,236.5,7.559533322678599,525.0,254.0,999.0,336.0,959.0,50.5,5.5,27.5,76.0,480.0,878.0,924.0,588.0,129.0,27.5,5.5,2747.0,27.5,284.0,45.0,27.5
90650,5305.5,350.5,6.606351898972764,919.0,338.0,1601.0,495.0,1824.0,139.0,22.0,39.5,124.0,874.0,1502.0,1633.0,909.0,222.0,27.5,5.5,4533.0,59.5,587.0,103.0,33.0
90660,3048.5,208.5,6.839429227488929,422.0,202.0,1018.0,242.0,1098.0,51.0,22.0,22.0,72.5,522.0,855.0,920.0,508.0,125.0,11.0,0.0,2636.0,27.5,297.0,58.0,27.5
90670,933.5,104.5,11.194429566148902,197.0,95.0,226.0,33.0,314.0,27.5,0.0,5.5,22.0,121.0,254.0,272.0,194.0,33.0,11.0,5.5,765.0,22.0,92.0,22.0,16.5
90701,785.5,94.5,12.030553787396563,175.0,60.0,202.0,87.0,228.0,27.5,5.5,22.0,27.5,85.0,215.0,262.0,145.0,35.0,5.5,0.0,662.0,27.5,71.0,27.5,16.5
90703,1608.0,165.0,10.261194029850747,546.0,435.0,174.0,27.5,336.0,33.0,5.5,16.5,22.0,91.0,272.0,583.0,472.0,121.0,27.5,11.0,1396.0,16.5,130.0,27.5,22.0
90704,185.5,27.5,14.824797843665769,27.5,22.0,47.0,27.5,41.5,16.5,0.0,5.5,11.0,27.5,37.0,27.5,27.5,22.0,0.0,0.0,139.0,0.0,27.5,5.5,5.5
90706,4400.5,295.5,6.715146006135667,679.0,248.0,1306.0,461.0,1560.0,151.0,16.5,33.0,116.0,761.0,1386.0,1276.0,659.0,166.0,16.5,5.5,3802.0,33.0,444.0,89.0,38.5
90710,1326.5,128.5,9.68714662646061,289.0,123.0,264.0,181.0,372.0,56.0,0.0,27.5,27.5,160.0,310.0,408.0,301.0,58.5,22.0,0.0,1150.0,27.5,116.0,27.5,22.0
90712,1816.0,128.0,7.048458149779736,582.0,308.0,193.0,51.0,596.0,58.0,11.0,22.0,27.5,125.0,420.0,646.0,489.0,90.0,11.0,0.0,1611.0,22.0,157.0,27.5,22.0
90713,1475.0,125.0,8.47457627118644,496.0,273.0,143.0,43.5,445.0,49.0,0.0,16.5,22.0,99.0,310.0,590.0,364.0,65.5,22.0,0.0,1304.0,5.5,115.0,27.5,27.5
90714,27.5,0.0,0.0,0.0,5.5,0.0,5.5,11.0,5.5,0.0,0.0,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0,11.0,0.0,5.5,0.0,0.0
90715,1098.0,103.0,9.380692167577411,244.0,118.0,228.0,85.0,373.0,27.5,11.0,22.0,27.5,132.0,260.0,350.0,238.0,51.0,11.0,5.5,915.0,22.0,111.0,36.0,27.5
90716,867.0,93.5,10.784313725490197,84.0,27.5,299.0,177.0,251.0,27.5,5.5,22.0,45.5,173.0,252.0,205.0,135.0,27.5,5.5,0.0,703.0,22.0,118.0,22.0,22.0
90717,1212.5,82.5,6.804123711340206,325.0,135.0,221.0,70.0,407.0,43.5,5.5,5.5,27.5,138.0,303.0,408.0,269.0,46.5,22.0,16.5,1101.0,5.5,77.0,27.5,22.0
90723,3252.0,230.0,7.072570725707257,319.0,104.0,1095.0,581.0,1050.0,84.0,5.5,27.5,113.5,673.0,997.0,812.0,483.0,119.0,27.5,5.5,2822.0,27.5,310.0,52.0,27.5
90732,935.5,100.0,10.689470871191876,315.0,192.0,87.5,33.0,225.0,44.5,0.0,11.0,22.0,55.5,165.0,355.0,248.0,58.5,11.0,5.5,841.0,11.0,40.5,27.5,16.5
90802,1862.0,153.0,8.216970998925886,409.0,267.0,326.0,219.0,559.0,53.0,0.0,27.5,27.5,255.0,495.0,559.0,384.0,90.0,27.5,11.0,1610.0,27.5,160.0,27.5,27.5
90803,1170.0,90.0,7.6923076923076925,457.0,336.0,53.0,27.5,204.0,56.5,0.0,5.5,11.0,27.5,179.0,472.0,369.0,75.0,27.5,5.5,1052.0,5.5,67.0,22.0,22.0
90813,3438.0,284.0,8.26061663757999,260.0,107.0,914.0,1033.0,1029.0,82.5,27.5,59.5,159.0,786.0,1018.0,822.0,437.0,133.0,11.0,0.0,2895.0,37.0,381.0,61.5,34.0
90814,897.0,71.5,7.971014492753622,274.0,223.0,83.5,27.5,247.0,27.5,0.0,5.5,16.5,55.5,159.0,341.0,255.0,51.0,16.5,0.0,811.0,5.5,49.5,22.0,16.5
90815,1838.0,141.0,7.671381936887922,708.0,464.0,132.0,34.0,403.0,60.5,5.5,22.0,27.5,96.0,293.0,646.0,623.0,113.0,22.0,5.5,1678.0,11.0,99.0,27.5,22.0
90822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90831,5.5,5.5,100.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
90840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91001,1489.0,130.0,8.730691739422431,419.0,402.0,207.0,71.5,299.0,53.5,5.5,11.0,27.5,137.0,229.0,470.0,441.0,147.0,27.5,16.5,1288.0,22.0,116.0,27.5,27.5
91006,1360.5,81.0,5.953693495038589,563.0,367.0,99.0,27.5,253.0,45.0,0.0,0.0,27.5,46.5,266.0,503.0,413.0,92.0,22.0,11.0,1192.0,5.5,99.0,55.5,22.0
